231202312020121010101002                                                                                          41no_informa                    no_informa                    colon                         2305032305232                                      1 1   129901164939                                 92992992
231202312020121020201002                                                                                          11los_haticos                   la_arreaga                    mcbo                          2313062313232                                      11022   02011991218                                92002992
231202312030121010101002                                                                                          91los_modinas                   no_informa                    mcbo                          2313152313232                                      1 821   01011511211                                42002072
231202312030121010102002                                                                                          91los_modinas                   no_informa                    mcbo                          2313152313232                                      11022   01011511211                                42002072
231202302040121010100002                                                                                          91no_informa                    el_laberinto                  jel                           23070223072310122905sipez                         12                                                    00
231202303040121010101002                                                                                          22no_informa                    no_informa                    mcbo                          2313162313232                                      1 621   01011811112                                42002992
231202304040121010101002                                                                                          11no_informa                    no_informa                    san_fco                       2317062317232                                      1 721   0101152923                                 12002992
231202303050121010100002                                                                                          41la_polar                      no_informa                    san_fco                       23170323172310332905ere_cpbez                     12                                                    00
231202301060121010101002                                                                                          92no_informa                    santa_lucia                   mcbo                          2313162313232                                      1 721   0301111193                                 21002011
231202303060121010100002                                                                                          41las_salinas                   no_informa                    mcbo                          23130723132310172905uca                           12                                                    00
231202306060121010101002                                                                                          21no_informa                    la_salina                     cabimas                       2303042303232                                      1 311   9901171199                                 92002091
231202302070121010100002                                                                                          91ciudad_lossada                no_informa                    mcbo                          23130923132310222905cpbez                         12                                                    00
232232303070121010101002                                                                                          11no_informa                    no_informa                    mcbo                          2313112313232                                      1 2   229803124913                                 12001011
232232303070121010102002                                                                                          41no_informa                    no_informa                    mcbo                          2313112313232                                      1 711   9803224913                                 12002011
232232303080121020100002                                                                                          4112_de_octubre                 no_informa                    mcbo                          23131023132310182905ere                           12                                                    00
232232303080121020200002                                                                                          41no_informa                    no_informa                    mcbo                          23131723132310182905ere                           12                                                    00
231202301080121040100002                                                                                          91no_informa                    la_quinta                     santa_rita                    23180223182310279905ere                           12                                                    00
231202301080121040200002                                                                                          12no_informa                    no_informa                    no_informa                    99999999992310222901no_informa                    12                                                    00
231202301080121040300002                                                                                          91no_informa                    el_curarire                   la_cañada_de_urdaneta         23090523092310152905no_informa                    12                                                    00
231202301080121040401002                                                                                          21no_informa                    valle_frio                    mcbo                          2313162313232                                      1 521   01011999115                                71002091
231202312080121020100002                                                                                          9118_de_octubre                 moliendo                      mcbo                          23131023132310292905ere                           12                                                    00
231202312080121020201002                                                                                          91no_informa                    rio_culebra                   sucre                         2320042320232                                      1 712   9906221124                                 12002011
231202312080121020202002                                                                                          91no_informa                    rio_culebra                   sucre                         2320042320232                                      11012   9906221123                                 12002011
232102302080121010101002                                                                                          91no_informa                    no_informa                    jel                           2307012307232                                      1 1   719901162933                                 11011061
231202304090121010100002                                                                                          41no_informa                    casianito_1                   mcbo                          23130123132310152999comision_policial             12                                                    00
232102312100121010101002                                                                                          91universidad                   la_polar                      san_fco                       2317032317232                                      1 721   0199293993                                 21002011
232102312100121010102002                                                                                          91universidad                   la_polar                      san_fco                       2317032317232                                      11021   0199292993                                 21002011
231202301110121020100002                                                                                          41bajo_seco                     no_informa                    mcbo                          23130423132310172206no_informa                    12                                                    00
231202301110121020200002                                                                                          41no_informa                    la_estrella                   jel                           23070123072310122201no_informa                    12                                                    00
231202312110121010102002                                                                                          91el_hoyito                     no_informa                    mcbo                          2313092313232                                      1 722   0199292993                                 21002012
231202312110121010101002                                                                                          91el_hoyito                     no_informa                    mcbo                          2313092313232                                      1 2   219801192915                                 71002062
231202301120121010100002                                                                                          41no_informa                    el_callao                     san_fco                       23170323172310192905sipez                         12                                                    00
231202312120121030100002                                                                                          91no_informa                    brisas_del_rio                sucre                         23200223202310122205cpbez                         12                                                    00
231202312120121030201002                                                                                          42no_informa                    no_informa                    catatumbo                     2304022304232                                      1 1   129901192939                                 12011021
231202312120121030301002                                                                                          91el_gaitero                    no_informa                    mcbo                          2313122313232                                      1 521   0101122115                                 72002041
231202312120121030302002                                                                                          91el_gaitero                    no_informa                    mcbo                          2313122313232                                      1 2   420101122115                                 72002041
231202304130121010101002                                                                                          91no_informa                    villa_camelia                 la_cañada_de_urdaneta         2309012309232                                      1 1   120101112133                                 12012021
231202301130121030101002                                                                                          22no_informa                    no_informa                    mcbo                          9999999999232                                      1 511   0101199919                                 71002992
231202301130121030200002                                                                                          91no_informa                    los_haticos                   mcbo                          23130623132310199905sipez                         22                                                    00
231202301130121030301002                                                                                          91no_informa                    san_crispulo                  miranda                       2314052314232                                      1 922   0201191199                                 21002011
231202312130121010101002                                                                                          91no_informa                    las_delicias                  mcbo                          2313082313232                                      1 722   0299233193                                 21002011
